,sort,all,bacterial,viral
CRP..mg.l..merged,1,0.054247723,0.043240816,0.064534024
ANC.MAX,2,0.020379256,0.012232268,0.028642636
X.ray.signs.Consolidation,3,0.01982352,0.013792763,0.025471308
Age.Group,4,0.01289183,0.010621435,0.015051227
Pulse,5,0.010532356,0.009362971,0.011628206
Nasopharyngeal.Culture.PCR,6,0.009825445,0.008607892,0.01112482
Weight..kg.,7,0.007899159,0.004077423,0.011879898
Urea..mmol.L.,8,0.006497599,0.01077245,0.002214896
Rhinorrhea,9,0.004121731,0.00488284,0.00347336
Albumin..g.l.,10,0.003109319,0.001610834,0.004429793
Blood.Culture.Result,11,0.002857443,0.001661172,0.004127761
X.ray.Result.Normal,12,0.002072433,0.001459818,0.002718282
Haemophilus,13,0.00184302,0.000302031,0.003574037
Chronic.DM2,14,0.001755019,0.000755078,0.002818959
Chronic.Hypertension,15,0.001697882,0.000251693,0.003171329
Urine.Stick,16,0.001653099,0.001208125,0.002164558
Streptococcus,17,0.00160206,0.001208125,0.002063881
Moraxella,18,0.00146856,0.002567266,0.000453047
Staphylococcus,19,0.001067063,-0.001459818,0.003624376
Main.Complaint.Chills,20,0.001051063,0.000503386,0.001610834
X.ray.Result.RLL.Pneumonia,21,0.000897668,-0.00035237,0.002214896
Chronic.COPD,22,0.000674677,0.000151016,0.001208125
Corynebacterium.1,23,0.000642756,-0.000402708,0.001812188
X.ray.Result.LLL.Pneumonia,24,0.000419858,-0.000604063,0.001510157
Routine.medication.Simvastatin,25,0.00041071,-0.000201354,0.00105711
Routine.medication.Tiotropium.bromide,26,0.000353011,-0.000201354,0.000956432
Chronic.Malignancy,27,0.000351455,-0.000151016,0.000906094
X.ray.signs.Pleural.effusion,28,0.000342358,-0.00035237,0.001107448
Decreased.breath.sounds,29,0.000319923,-0.000402708,0.001006771
pH..capillary.,30,0.000294793,0.000453047,0.000201354
Routine.medication.Pantoprazole,31,0.000285556,-0.00070474,0.001359141
Anaerococcus,32,0.000281212,-0.001409479,0.002063881
CT.finding.Consolidation,33,0.000273629,-0.00035237,0.000956432
Chronic.Hypercholesterolemia,34,0.000249554,-0.000453047,0.001006771
AMY..u.l.,35,-2.27E-05,-0.000906094,0.00070474
Dolosigranulum,36,-0.000102589,-0.000654401,0.000553724
